ID,Tytuł,Autor,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe
4978560,Do gwiazd,Brandon Sanderson,Skyward (tom 1),"8,0",1763,4002,267,,https://lubimyczytac.pl/ksiazka/4978560/do-gwiazd,,Chcę przeczytać,
5040519,Kapitularz Diuną,Frank Herbert,Kroniki Diuny (tom 6),"7,1",1946,5029,116,,https://lubimyczytac.pl/ksiazka/5040519/kapitularz-diuna,,Przeczytane,Kroniki Diuny
5040518,Heretycy Diuny,Frank Herbert,Kroniki Diuny (tom 5),"7,3",2600,6088,140,,https://lubimyczytac.pl/ksiazka/5040518/heretycy-diuny,,Przeczytane,Kroniki Diuny
5114517,Bóg Imperator Diuny,Frank Herbert,Kroniki Diuny (tom 4),"7,3",4294,8804,271,,https://lubimyczytac.pl/ksiazka/5114517/bog-imperator-diuny,,Przeczytane,Kroniki Diuny
5040514,Dzieci Diuny,Frank Herbert,Kroniki Diuny (tom 3),"7,4",1482,2769,94,,https://lubimyczytac.pl/ksiazka/5040514/dzieci-diuny,,Przeczytane,Kroniki Diuny
8601,Mesjasz Diuny,Frank Herbert,Kroniki Diuny (tom 2),"7,3",5943,9890,380,,https://lubimyczytac.pl/ksiazka/8601/mesjasz-diuny,,Przeczytane,Kroniki Diuny
4942534,Diuna,Frank Herbert,Kroniki Diuny (tom 1),"8,2",21262,43502,1847,10,https://lubimyczytac.pl/ksiazka/4942534/diuna,,Przeczytane,Kroniki Diuny
4811730,Wiedźmin. Szpony i kły,"Andrzej W. Sawicki, Przemysław Gul",Wiedźmin Geralt z Rivii (tom 8),"6,8",3199,7986,378,,https://lubimyczytac.pl/ksiazka/4811730/wiedzmin-szpony-i-kly,,Chcę przeczytać,
199630,Sezon burz,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 0.2),"7,4",22618,39020,1835,,https://lubimyczytac.pl/ksiazka/199630/sezon-burz,,Przeczytane,Wiedźmin
240527,Pani Jeziora,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 7),"8,2",32562,52929,1144,,https://lubimyczytac.pl/ksiazka/240527/pani-jeziora,,Przeczytane,Wiedźmin
240525,Wieża Jaskółki,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 6),"8,3",33288,53306,914,,https://lubimyczytac.pl/ksiazka/240525/wieza-jaskolki,,Przeczytane,Wiedźmin
240524,Chrzest ognia,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 5),"8,4",37658,58448,1100,,https://lubimyczytac.pl/ksiazka/240524/chrzest-ognia,,Przeczytane,Wiedźmin
240513,Czas pogardy,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 4),"8,3",40296,61756,1146,,https://lubimyczytac.pl/ksiazka/240513/czas-pogardy,,Przeczytane,Wiedźmin
240512,Krew elfów,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 3),"8,2",45135,68922,1603,,https://lubimyczytac.pl/ksiazka/240512/krew-elfow,,Przeczytane,Wiedźmin
240312,Miecz przeznaczenia,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 2),"8,4",41911,62954,1501,,https://lubimyczytac.pl/ksiazka/240312/miecz-przeznaczenia,,Przeczytane,Wiedźmin
240310,Ostatnie życzenie,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 1),"8,4",53145,80471,2677,,https://lubimyczytac.pl/ksiazka/240310/ostatnie-zyczenie,,Przeczytane,"Posiadam, Wiedźmin"
301206,Taniec ze smokami. Część 2,George R.R. Martin,Pieśń Lodu i Ognia (tom 5.2),"8,2",16023,29380,566,,https://lubimyczytac.pl/ksiazka/301206/taniec-ze-smokami-czesc-2,,Przeczytane,Pieśń Lodu i Ognia
301205,Taniec ze smokami. Część 1,George R.R. Martin,Pieśń Lodu i Ognia (tom 5.1),"8,0",17154,31459,492,,https://lubimyczytac.pl/ksiazka/301205/taniec-ze-smokami-czesc-1,,Przeczytane,Pieśń Lodu i Ognia
253110,Uczta dla wron: Sieć spisków,George R.R. Martin,Pieśń Lodu i Ognia (tom 4.2),"8,0",8535,16111,200,,https://lubimyczytac.pl/ksiazka/253110/uczta-dla-wron-siec-spiskow,,Przeczytane,Pieśń Lodu i Ognia
252979,Uczta dla wron: Cienie śmierci,George R.R. Martin,Pieśń Lodu i Ognia (tom 4.1),"8,0",8950,16559,239,,https://lubimyczytac.pl/ksiazka/252979/uczta-dla-wron-cienie-smierci,,Przeczytane,Pieśń Lodu i Ognia
4942700,Nawałnica mieczy: Krew i złoto,George R.R. Martin,Pieśń Lodu i Ognia (tom 3.2),"8,5",1815,3624,51,,https://lubimyczytac.pl/ksiazka/4942700/nawalnica-mieczy-krew-i-zloto,,Przeczytane,Pieśń Lodu i Ognia
4942363,Nawałnica mieczy: Stal i śnieg,George R.R. Martin,Pieśń Lodu i Ognia (tom 3.1),"8,4",2223,4227,59,,https://lubimyczytac.pl/ksiazka/4942363/nawalnica-mieczy-stal-i-snieg,,Przeczytane,Pieśń Lodu i Ognia
135651,Star Wars: Darth Plagueis,James Luceno,,"7,8",655,1130,84,9,https://lubimyczytac.pl/ksiazka/135651/star-wars-darth-plagueis,,Przeczytane,Star Wars
134106,Starcie królów,George R.R. Martin,Pieśń Lodu i Ognia (tom 2),"8,4",16455,27349,592,,https://lubimyczytac.pl/ksiazka/134106/starcie-krolow,,Przeczytane,Pieśń Lodu i Ognia
134254,Gra o tron,George R.R. Martin,Pieśń Lodu i Ognia (tom 1),"8,5",19102,32437,1332,9,https://lubimyczytac.pl/ksiazka/134254/gra-o-tron,,Przeczytane,"Posiadam, Pieśń Lodu i Ognia"
